Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7852787,WHS3_41,COUNTRY,BFA,AFR,YEAR,Africa,,,2015,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
7858785,WHS3_41,COUNTRY,CAN,AMR,YEAR,Americas,,,1975,,,,,,,103,103.0,,,,2025-07-14T16:36:19.017+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
7859076,WHS3_41,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,1993,,,,,,,42,42.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
7859416,WHS3_41,COUNTRY,ISR,EUR,YEAR,Europe,,,1997,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
7860805,WHS3_41,COUNTRY,SUR,AMR,YEAR,Americas,,,1986,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
7860836,WHS3_41,COUNTRY,ECU,AMR,YEAR,Americas,,,1996,,,,,,,22,22.0,,,,2025-07-14T16:36:19.017+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
7864445,WHS3_41,COUNTRY,NLD,EUR,YEAR,Europe,,,1984,,,,,,,1,1.0,,,,2025-07-14T16:36:19.017+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
7865604,WHS3_41,COUNTRY,MWI,AFR,YEAR,Africa,,,2016,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
7867437,WHS3_41,COUNTRY,MWI,AFR,YEAR,Africa,,,1992,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
7871477,WHS3_41,COUNTRY,JAM,AMR,YEAR,Americas,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7872077,WHS3_41,COUNTRY,UZB,EUR,YEAR,Europe,,,2022,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7872554,WHS3_41,COUNTRY,NIU,WPR,YEAR,Western Pacific,,,2023,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
7872582,WHS3_41,COUNTRY,TJK,EUR,YEAR,Europe,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7872737,WHS3_41,COUNTRY,ISL,EUR,YEAR,Europe,,,2020,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
7873576,WHS3_41,COUNTRY,BGR,EUR,YEAR,Europe,,,2008,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
7873731,WHS3_41,COUNTRY,AZE,EUR,YEAR,Europe,,,1992,,,,,,,72,72.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
7874207,WHS3_41,WORLDBANKINCOMEGROUP,WB_LMI,,YEAR,,,,2006,,,,,,,3387,3387.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
7875739,WHS3_41,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
7877462,WHS3_41,COUNTRY,GIN,AFR,YEAR,Africa,,,1985,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
7877752,WHS3_41,COUNTRY,NAM,AFR,YEAR,Africa,,,2005,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
7878060,WHS3_41,WORLDBANKINCOMEGROUP,WB_LMI,,YEAR,,,,2022,,,,,,,3897,3897.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7879618,WHS3_41,COUNTRY,CRI,AMR,YEAR,Americas,,,1983,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
7879821,WHS3_41,COUNTRY,LBY,EMR,YEAR,Eastern Mediterranean,,,1987,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
