Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
29173,WHS3_62,COUNTRY,GNB,AFR,YEAR,Africa,,,2024,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
29468,WHS3_62,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,1984,,,,,,,2042,2042.0,,,,2025-07-14T16:36:19.017+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
31787,WHS3_62,GLOBAL,GLOBAL,,YEAR,,,,2008,,,,,,,278 751,278751.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
32981,WHS3_62,COUNTRY,ECU,AMR,YEAR,Americas,,,2004,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
35278,WHS3_62,REGION,AMR,,YEAR,,,,2007,,,,,,,176,176.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
36021,WHS3_62,COUNTRY,TKL,WPR,YEAR,Western Pacific,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
38451,WHS3_62,COUNTRY,SLE,AFR,YEAR,Africa,,,2005,,,,,,,29,29.0,,,,2025-07-14T16:36:19.017+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
39866,WHS3_62,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,1980,,,,,,,561,561.0,,,,2025-07-14T16:36:19.017+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
40560,WHS3_62,COUNTRY,LTU,EUR,YEAR,Europe,,,2019,,,,,,,834,834.0,,,,2025-07-14T16:36:19.017+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
40910,WHS3_62,COUNTRY,MLT,EUR,YEAR,Europe,,,1982,,,,,,,1530,1530.0,,,,2025-07-14T16:36:19.017+02:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00
45190,WHS3_62,COUNTRY,BLR,EUR,YEAR,Europe,,,2001,,,,,,,45,45.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
48021,WHS3_62,COUNTRY,NER,AFR,YEAR,Africa,,,2010,,,,,,,372,372.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
51693,WHS3_62,COUNTRY,MDG,AFR,YEAR,Africa,,,1999,,,,,,,35 196,35196.0,,,,2025-07-14T16:36:19.017+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
52926,WHS3_62,COUNTRY,SGP,WPR,YEAR,Western Pacific,,,1992,,,,,,,606,606.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
53520,WHS3_62,COUNTRY,SYC,AFR,YEAR,Africa,,,1988,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
57543,WHS3_62,GLOBAL,GLOBAL,,YEAR,,,,2000,,,,,,,853 479,853479.0,,,,2025-07-14T16:36:19.017+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
59367,WHS3_62,COUNTRY,CAF,AFR,YEAR,Africa,,,2015,,,,,,,150,150.0,,,,2025-07-14T16:36:19.017+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
60359,WHS3_62,COUNTRY,ABW,AMR,YEAR,Americas,,,2024,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
65147,WHS3_62,GLOBAL,GLOBAL,,YEAR,,,,1983,,,,,,,3 586 101,3586101.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
67072,WHS3_62,COUNTRY,BLR,EUR,YEAR,Europe,,,2017,,,,,,,1,1.0,,,,2025-07-14T16:36:19.017+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
69737,WHS3_62,COUNTRY,TGO,AFR,YEAR,Africa,,,1977,,,,,,,23 057,23057.0,,,,2025-07-14T16:36:19.017+02:00,1977,1977-01-01T00:00:00+01:00,1977-12-31T00:00:00+01:00
70739,WHS3_62,COUNTRY,AND,EUR,YEAR,Europe,,,1997,,,,,,,5,5.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
