Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6934870,WHS3_49,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,2017,,,,,,,0,0.0,,,,2019-09-11T08:28:47+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
6935252,WHS3_49,REGION,WPR,YEAR,,,,,2003,,,,,,,0,0.0,,,,2019-09-11T08:29:44+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6938093,WHS3_49,COUNTRY,HRV,YEAR,EUR,Europe,,,1992,,,,,,,0,0.0,,,,2019-09-11T08:28:00+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
6938882,WHS3_49,COUNTRY,COL,YEAR,AMR,Americas,,,2008,,,,,,,0,0.0,,,,2019-09-11T08:27:56+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
6942899,WHS3_49,COUNTRY,HUN,YEAR,EUR,Europe,,,2009,,,,,,,0,0.0,,,,2019-09-11T08:28:21+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
6944501,WHS3_49,COUNTRY,UZB,YEAR,EUR,Europe,,,2010,,,,,,,0,0.0,,,,2019-09-11T08:29:37+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6945144,WHS3_49,COUNTRY,DZA,YEAR,AFR,Africa,,,1988,,,,,,,9,9.0,,,,2019-09-11T08:27:34+02:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00
6945229,WHS3_49,COUNTRY,GRC,YEAR,EUR,Europe,,,2002,,,,,,,0,0.0,,,,2019-09-11T08:28:16+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
6945450,WHS3_49,COUNTRY,LKA,YEAR,SEAR,South-East Asia,,,2003,,,,,,,0,0.0,,,,2019-09-11T08:29:22+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
6947583,WHS3_49,COUNTRY,VUT,YEAR,WPR,Western Pacific,,,1983,,,,,,,0,0.0,,,,2019-09-11T08:29:37+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
