Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4660542,WHS4_117,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,,,2012,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4679392,WHS4_117,COUNTRY,SYC,YEAR,AFR,Africa,,,2014,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4685585,WHS4_117,COUNTRY,TTO,YEAR,AMR,Americas,,,2017,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4690673,WHS4_117,COUNTRY,CRI,YEAR,AMR,Americas,,,2018,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4691291,WHS4_117,COUNTRY,AZE,YEAR,EUR,Europe,,,2021,,,,,,,49,49.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4691322,WHS4_117,COUNTRY,SWE,YEAR,EUR,Europe,,,2019,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4691355,WHS4_117,COUNTRY,THA,YEAR,SEAR,South-East Asia,,,2023,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4692233,WHS4_117,COUNTRY,IND,YEAR,SEAR,South-East Asia,,,2002,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4698360,WHS4_117,COUNTRY,USA,YEAR,AMR,Americas,,,2016,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4709606,WHS4_117,COUNTRY,MHL,YEAR,WPR,Western Pacific,,,2002,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4711087,WHS4_117,COUNTRY,TTO,YEAR,AMR,Americas,,,2001,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4716562,WHS4_117,COUNTRY,BHS,YEAR,AMR,Americas,,,2016,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4717133,WHS4_117,COUNTRY,QAT,YEAR,EMR,Eastern Mediterranean,,,2021,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4723124,WHS4_117,COUNTRY,LUX,YEAR,EUR,Europe,,,2000,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4723782,WHS4_117,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2010,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4741911,WHS4_117,COUNTRY,DOM,YEAR,AMR,Americas,,,2002,,,,,,,63,63.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4742400,WHS4_117,COUNTRY,ECU,YEAR,AMR,Americas,,,2003,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4747967,WHS4_117,COUNTRY,IRL,YEAR,EUR,Europe,,,2018,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4755306,WHS4_117,COUNTRY,DJI,YEAR,EMR,Eastern Mediterranean,,,2012,,,,,,,81,81.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4787037,WHS4_117,COUNTRY,AND,YEAR,EUR,Europe,,,2002,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4793607,WHS4_117,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,2012,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4799471,WHS4_117,COUNTRY,NIU,YEAR,WPR,Western Pacific,,,2010,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4799587,WHS4_117,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2018,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4805106,WHS4_117,COUNTRY,CZE,YEAR,EUR,Europe,,,2019,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4811708,WHS4_117,COUNTRY,ISR,YEAR,EUR,Europe,,,2021,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4811776,WHS4_117,COUNTRY,ERI,YEAR,AFR,Africa,,,2009,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4812678,WHS4_117,COUNTRY,MEX,YEAR,AMR,Americas,,,2023,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4818492,WHS4_117,COUNTRY,KEN,YEAR,AFR,Africa,,,2019,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4830988,WHS4_117,COUNTRY,PRT,YEAR,EUR,Europe,,,2008,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4843629,WHS4_117,COUNTRY,ZAF,YEAR,AFR,Africa,,,2002,,,,,,,72,72.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4843801,WHS4_117,COUNTRY,BEN,YEAR,AFR,Africa,,,2003,,,,,,,73,73.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4849590,WHS4_117,COUNTRY,THA,YEAR,SEAR,South-East Asia,,,2000,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4849962,WHS4_117,COUNTRY,BGR,YEAR,EUR,Europe,,,2015,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4855996,WHS4_117,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,,,2020,,,,,,,80,80.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4861951,WHS4_117,COUNTRY,SLE,YEAR,AFR,Africa,,,2003,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
4887181,WHS4_117,COUNTRY,IRN,YEAR,EMR,Eastern Mediterranean,,,2024,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4887593,WHS4_117,COUNTRY,MDG,YEAR,AFR,Africa,,,2006,,,,,,,82,82.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4887699,WHS4_117,COUNTRY,VUT,YEAR,WPR,Western Pacific,,,2007,,,,,,,63,63.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
